,Time (ns),Peptide_num,Angle,len coords
246,310,7,11.242510872759993,1
247,310,8,0.49197857639339304,1
248,320,1,1.6544383712925566,1
249,320,2,22.798105855427025,1
250,320,3,63.79471066683797,1
251,320,4,26.28568102182203,1
252,320,5,0.12734629446464396,1
253,320,6,6.3730426820454795,1
254,320,7,16.11948495442229,1
255,320,8,6.898641093552868,1
256,330,1,6.410708119816221,1
257,330,2,15.661341190501162,1
258,330,3,15.640995474136218,1
259,330,4,15.95389924512881,1
260,330,5,2.20405943539393,1
261,330,6,15.288719038853017,1
262,330,7,4.666980315370154,1
263,330,8,9.929169702755075,1
264,340,1,3.9481121743848178,1
265,340,2,,2
266,340,3,16.03134410670593,1
267,340,4,6.1264710932452004,1
268,340,5,1.903795591643643,1
269,340,6,15.884010330769499,1
270,340,7,1.3140021018900683,1
271,340,8,9.932145724310104,1
272,350,1,2.4391202140104724,1
273,350,2,,2
274,350,3,46.241024321855484,1
275,350,4,4.914785596328869,1
276,350,5,0.16943356570925516,1
277,350,6,14.635280680458735,1
278,350,7,0.6408679491026987,1
279,350,8,8.029264095601818,1
280,360,1,3.212678763828464,1
281,360,2,7.8625006372735555,1
282,360,3,28.43127247014494,1
283,360,4,,2
284,360,5,0.7523966601076495,1
285,360,6,14.277662754416639,1
286,360,7,2.987147607701928,1
287,360,8,13.916624246856415,1
288,370,1,7.195712164080888,1
289,370,2,,0
290,370,3,17.524644760001223,1
291,370,4,6.7354085943116075,1
292,370,5,6.238384022827077,1
293,370,6,14.535224974160784,1
294,370,7,2.4033610755692507,1
295,370,8,16.87925233391094,1
296,380,1,0.8890682666220897,1
297,380,2,6.371266413175874,1
298,380,3,27.272901999559224,1
299,380,4,11.014005771785946,1
300,380,5,1.241972976443975,1
301,380,6,14.367155724111768,1
302,380,7,5.365483055981372,1
303,380,8,2.3298138323923467,1
304,390,1,3.12536216708304,1
305,390,2,,2
306,390,3,23.028472793664932,1
307,390,4,2.2402206927748836,1
308,390,5,1.7336132116077891,1
309,390,6,1.63990272603057,1
310,390,7,2.3147575885408855,1
311,390,8,7.832710973096809,1
312,400,1,4.058863887524069,1
313,400,2,6.317449307209188,1
314,400,3,26.81254860073284,1
315,400,4,9.51596664228849,1
316,400,5,3.124050435457306,1
317,400,6,10.527022680853847,1
318,400,7,10.132043059594224,1
319,400,8,6.994851664831515,1
320,410,1,7.034833717469041,1
321,410,2,,0
322,410,3,28.543076480887038,1
323,410,4,16.151233534733578,1
324,410,5,2.3436856219965705,1
325,410,6,13.513290271401303,1
326,410,7,5.704384531029902,1
327,410,8,10.039263092951145,1
328,420,1,4.356945109090731,1
329,420,2,19.22540055126906,1
330,420,3,29.938344504464077,1
331,420,4,4.712747959953745,1
332,420,5,4.091176460881087,1
333,420,6,12.311136185810213,1
334,420,7,3.4846364933915623,1
335,420,8,14.539698841830656,1
336,430,1,7.089960379756334,1
337,430,2,,2
338,430,3,26.37195110983869,1
339,430,4,1.415515117225553,1
340,430,5,1.0238205618126557,1
341,430,6,4.122320796668916,1
342,430,7,1.3465475070622688,1
343,430,8,4.825426756507213,1
344,440,1,11.999338606245416,1
345,440,2,,2
346,440,3,34.913897845235404,1
347,440,4,2.711828710718976,1
348,440,5,4.60047241702641,1
349,440,6,9.389097921895441,1
350,440,7,3.689258629651519,1
351,440,8,4.377848622282073,1
352,450,1,0.5934970132909143,1
353,450,2,19.264161918710954,1
354,450,3,37.57365039805791,1
355,450,4,17.748148341740006,1
356,450,5,1.0263360141921396,1
357,450,6,9.48271806550973,1
358,450,7,2.156789936118102,1
359,450,8,10.204527175518805,1
360,460,1,10.46556555538308,1
361,460,2,8.539578536280601,1
362,460,3,4.812366160057721,1
363,460,4,0.9688359414845564,1
364,460,5,5.574878165068526,1
365,460,6,6.684597520810399,1
366,460,7,2.452751838623314,1
367,460,8,11.007712925677637,1
368,470,1,3.652759609515556,1
369,470,2,37.10385380081571,1
370,470,3,36.364488474856586,1
371,470,4,3.6460961742035636,1
372,470,5,2.0494112834640674,1
373,470,6,8.921192214390942,1
374,470,7,10.459697889478804,1
375,470,8,8.093027072450653,1
376,480,1,6.301904767693927,1
377,480,2,,0
378,480,3,36.436940538130884,1
379,480,4,10.78168578599977,1
380,480,5,5.580019471331525,1
381,480,6,8.832067573492736,1
382,480,7,8.145238086556816,1
383,480,8,7.517674930208045,1
384,490,1,2.575858599969777,1
385,490,2,18.623760264542256,1
386,490,3,0.004303887990914745,1
387,490,4,0.32170259361262765,1
388,490,5,1.6255852037216698,1
389,490,6,16.794418799740555,1
390,490,7,12.735027214748229,1
391,490,8,3.656905548098621,1
392,500,1,24.373827299583525,1
393,500,2,,0
394,500,3,33.53467405942162,1
395,500,4,,0
396,500,5,0.902450591274615,1
397,500,6,19.659154872567086,1
398,500,7,0.40981797586957214,1
399,500,8,12.30158231039779,1
